State,County Name,FIPS,Number of Dem Votes,Number of GOP Votes,Percent With No High School,Percent With Only High School,Percent With Some College, Percent With Bachelor's or more,Percent of County Population Below Poverty
CO,Denver,8031,174611.0,43637.0,13.6,17.6,23.0,45.7,15.69705543268552
CO,Dolores,8033,227.0,936.0,9.1,38.7,31.9,20.3,17.46592629984856
CO,Douglas,8035,67045.0,100178.0,2.1,12.3,28.1,57.5,0.06451993138553451
CO,Eagle,8037,12652.0,8153.0,11.2,17.9,25.9,45.0,7.9424886589435015
CO,Elbert,8039,3056.0,11536.0,3.6,26.1,37.5,32.8,4.943720139282533
CO,El Paso,8041,105807.0,176506.0,6.1,20.6,36.8,36.6,10.827982025537972
CO,Fremont,8043,5275.0,15066.0,11.3,39.2,33.1,16.4,1.5263417035942886
CO,Garfield,8045,11205.0,13071.0,13.1,28.7,29.1,29.1,0.12290541476249826
CO,Gilpin,8047,1634.0,1564.0,2.0,24.3,39.3,34.4,6.738868832731648
CO,Grand,8049,3319.0,4467.0,4.3,25.7,32.8,37.2,10.445816186556927
CO,Gunnison,8051,5068.0,3250.0,4.7,18.1,24.6,52.6,14.370700873768358
CO,Hinsdale,8053,197.0,339.0,5.1,22.8,31.1,40.9,12.483745123537062
CO,Huerfano,8055,1631.0,1875.0,8.7,27.4,37.9,26.0,16.81374825824431
CO,Kiowa,8061,91.0,726.0,7.1,35.2,37.5,20.2,10.891089108910892
CO,Kit Carson,8063,526.0,2894.0,16.5,38.1,31.7,13.8,12.545542871022588
CO,La Plata,8067,15300.0,12471.0,5.2,19.3,32.5,43.0,10.167975168888077
CO,Larimer,8069,92170.0,82624.0,4.3,19.4,31.0,45.3,12.47195756419434
CO,Las Animas,8071,2614.0,3656.0,14.2,29.6,37.2,18.9,13.691618682021753
CO,Mesa,8077,20958.0,48129.0,10.2,29.3,34.5,26.1,15.925094844374362
CO,Mineral,8079,237.0,344.0,3.4,21.0,33.1,42.5,8.977900552486188
CO,Moffat,8081,874.0,5293.0,8.9,39.9,32.3,18.9,11.000852779285216
CO,Montezuma,8083,3920.0,7771.0,9.8,29.5,33.6,27.0,18.395595151607846
CO,Montrose,8085,5438.0,14303.0,11.2,32.1,32.9,23.8,17.838235294117645
CO,Otero,8089,1719.0,2988.0,14.2,28.4,40.2,17.1,22.719317436009625
CO,Ouray,8091,1690.0,1337.0,2.2,18.2,25.1,54.5,9.120171673819742
CO,Park,8093,3351.0,6053.0,3.7,26.0,39.8,30.5,6.163681321995054
